ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,df9ae300-9755-415c-91cd-49de770fae06,1,,,,3857287,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 36710, 'name': 'Sergio Rochet Álvarez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7104, 'name': 'Mathías Olivera Miramontes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5260, 'name': 'Rodrigo Bentancur Colmán'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6773, 'name': 'Federico Santiago Valverde Dipetta'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 36288, 'name': 'Facundo Pellistri Rebollo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 32478, 'name': 'Darwin Gabriel Núñez Ribeiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b68a0b4c-d5be-432f-b2ef-64c9236bf580,2,,,,3857287,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 37641, 'name': 'Seung-Gyu Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40672, 'name': 'Moon-Hwan Kim'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 43565, 'name': 'Min Jae Kim'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5604, 'name': 'Young-Gwon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23763, 'name': 'In-Beom Hwang'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5618, 'name': 'Woo-Young Jung'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 41711, 'name': 'Sang-Ho Na'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5623, 'name': 'Jae-Sung Lee'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 29966, 'name': 'Ui-Jo Hwang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",South Korea,791,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5168b63-72fa-410b-80fb-a8da8ec1661a,3,,,,3857287,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['d73e48cc-9c96-4442-a41c-2a436cc3a9c0'],0,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d73e48cc-9c96-4442-a41c-2a436cc3a9c0,4,,,,3857287,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['d5168b63-72fa-410b-80fb-a8da8ec1661a'],0,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,64ba78e6-117f-4ff6-a523-e4482614a40b,1678,,,,3857287,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,South Korea,791,['cead1809-da0d-43d6-aea4-1bab3c1d46ea'],0,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cead1809-da0d-43d6-aea4-1bab3c1d46ea,1679,,,,3857287,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,South Korea,791,['64ba78e6-117f-4ff6-a523-e4482614a40b'],0,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.550757,,,,,,,,,,,,,1bfb653f-40ed-499d-924c-73362ad9f55c,5,,,"[60.0, 40.0]",3857287,0,,,,,-3.1158252,,Right Foot,,,,"[40.6, 39.5]",Ground Pass,,19.406443,,,Woo-Young Jung,5618.0,,,,,Kick Off,1,From Kick Off,Ui-Jo Hwang,29966.0,Center Forward,2,South Korea,791,['a7ffe6a5-2a25-486d-8bde-197c77c3c32c'],0,,,,,,,,,,,,,,,,South Korea,791,00:00:00.735,Pass,
,,,,,,,,,,,,,,1.764311,,,,,,,,,,,,,c76ebeb4-3385-439b-be96-69dc3fbc515b,8,,,"[41.5, 38.5]",3857287,0,,,,,-1.9815133,,Right Foot,,,,"[33.4, 19.9]",Ground Pass,,20.287188,,,Young-Gwon Kim,5604.0,,,,,,1,From Kick Off,Woo-Young Jung,5618.0,Left Defensive Midfield,2,South Korea,791,['7dd5ac46-4965-49f7-af41-4e8786e6096b'],4,,,,,,,,,,,,,,,,South Korea,791,00:00:04.041,Pass,
,,,,,,,,,,,,,,3.365434,,,,,,,,,,,,,de97756d-923d-405b-844d-17e1a697c8a9,11,,,"[36.3, 17.1]",3857287,0,,,,,0.67619354,,Left Foot,,,,"[95.0, 64.2]",High Pass,,75.260216,,,Sang-Ho Na,41711.0,,True,,,,1,From Kick Off,Young-Gwon Kim,5604.0,Left Center Back,2,South Korea,791,['53e1ba9a-6d27-467e-85b9-a6a8ed3ac891'],8,,,,,,,,,,,,,,,,South Korea,791,00:00:08.342,Pass,
,,,,,,,,,,,,,,0.762417,,,,,,,,,,,,,0a7c3278-ce9c-45f7-b9be-c92cee890e37,20,,,"[29.2, 23.5]",3857287,0,,,,,2.8286915,,Other,,,,"[25.8, 24.6]",Ground Pass,,3.5735137,,,Rodrigo Bentancur Colmán,5260.0,,,,,,1,Regular Play,Matías Vecino Falero,5255.0,Left Center Midfield,3,Uruguay,783,"['1560372b-2a84-4a58-b6c0-c3dded60a028', '3da24408-184e-46eb-b48c-007d44430a20']",16,,,,,,,,,,,,,,,,Uruguay,783,00:00:16.414,Pass,True
,,,,,,,,,,,,,,0.80767,,,,,,,,,,,,,160a839a-5be3-48a3-b62b-a91a2bd319c2,22,,,"[25.4, 23.1]",3857287,0,,,,,-1.3053659,,Right Foot,,,,"[28.2, 12.8]",Ground Pass,,10.6737995,,,Mathías Olivera Miramontes,7104.0,,,,,,1,Regular Play,Rodrigo Bentancur Colmán,5260.0,Center Defensive Midfield,3,Uruguay,783,['df998c8a-6f35-482f-9832-84fbf2c7ffab'],17,,,,,,,,,,,,,,,,Uruguay,783,00:00:17.176,Pass,
,,,,,,,,,,,,,,1.608258,,,,,,,,,,,,,47050a6e-52ff-4e27-b379-adf0f7382f5a,25,,,"[28.2, 13.3]",3857287,0,,,,,3.0079403,,Left Foot,,,,"[16.3, 14.9]",Ground Pass,,12.007081,,,Rodrigo Bentancur Colmán,5260.0,,,,,,1,Regular Play,Mathías Olivera Miramontes,7104.0,Left Back,3,Uruguay,783,"['2ad0946b-228c-493e-adee-c55f229e55d6', '7d629071-bb9d-49bd-8cb9-5ce50b780938']",17,,,,,,,,,,,,,,,,Uruguay,783,00:00:17.984,Pass,True
,,,,,,,,,,,,,,1.947419,,,,,,,,,,,,,4c875b35-397f-467c-8c50-7e1ca5926ee4,39,,,"[17.3, 0.1]",3857287,0,,,,,0.16154292,,,,,,"[30.8, 2.3]",High Pass,,13.678084,,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,Throw-in,1,From Throw In,Mathías Olivera Miramontes,7104.0,Left Back,4,Uruguay,783,['de9164e3-6b14-4718-a116-f8153d3c7acb'],43,,,,,,,,,,,,,,,,Uruguay,783,00:00:43.210,Pass,
,,,,,,,,,,,,,,1.112471,,,,,,,,,,,,,b2736ca5-02a6-4a3c-98fb-8ff5b611ba73,42,,,"[29.5, 2.9]",3857287,0,,,,True,0.19888587,,,,,,"[42.4, 5.5]",High Pass,,13.159408,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Throw In,Darwin Gabriel Núñez Ribeiro,32478.0,Left Wing,4,Uruguay,783,"['3d944812-c559-4a4b-b890-5ec74da9b398', 'd66fdd14-40b3-418e-86bd-98f0a0c6f63f']",45,,,,,,,,,,,,,,,,Uruguay,783,00:00:45.158,Pass,True
,,,,,,,,,,,,,,2.852648,,,,,,,,,,,,,26c0bd14-bc49-4dc6-9bd1-df7444dfcd6e,46,,,"[68.6, 64.5]",3857287,0,,,,,-2.3127437,,Right Foot,,,,"[48.8, 42.9]",Ground Pass,,29.301878,,,Young-Gwon Kim,5604.0,,,,,Recovery,1,Regular Play,Min Jae Kim,43565.0,Right Center Back,5,South Korea,791,['f41ccb05-fe53-42ac-af1c-d34b25dfb630'],48,,,,,,,,,,,,,,,,South Korea,791,00:00:48.061,Pass,
,,,,,,,,,,,,,,1.286862,,,,,,,,,,,,,749dddd7-eb7e-4cff-979a-92e6fc987c94,49,,,"[48.8, 41.6]",3857287,0,,,,,1.6387544,,Left Foot,,,,"[47.5, 60.7]",Ground Pass,,19.14419,,,Min Jae Kim,43565.0,,,,,,1,Regular Play,Young-Gwon Kim,5604.0,Left Center Back,5,South Korea,791,['fa1c66e1-6eda-47e6-8819-da68af8240f8'],50,,,,,,,,,,,,,,,,South Korea,791,00:00:50.953,Pass,
,,,,,,,,,,,,,,4.769092,,,,,,,,,,,,,33ae69d6-c3b7-453a-b302-002c4d1ebe0a,52,,,"[44.4, 66.7]",3857287,0,,,,,-0.013594328,,Right Foot,,,,"[110.6, 65.8]",High Pass,,66.206116,Incomplete,,Sang-Ho Na,41711.0,,,,,,1,Regular Play,Min Jae Kim,43565.0,Right Center Back,5,South Korea,791,"['3b9a9491-a807-4624-bd37-08eb0844d7f2', 'ee624047-490c-4623-be33-705a60868aa6']",53,,,,,,,,,,,,,,,,South Korea,791,00:00:53.524,Pass,
,,,,,,,,,,,,,,1.156497,,,,,,,,,,,,,6c15e423-9ecc-4d5b-8ec6-f87c2ff60a49,56,,,"[120.0, 80.0]",3857287,1,,,,,-1.7472848,,Right Foot,,,,"[114.4, 48.6]",High Pass,,31.895454,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Heung-Min Son,3083.0,Left Wing,6,South Korea,791,['a3da077e-d568-49fa-9ea0-48131b499596'],41,,,,,,,,,,,,,,,,South Korea,791,00:01:41.028,Pass,
,,,,,,,,,,,,,,3.509827,,,,,,,,,,,,,3754fb4e-228f-4cf3-8e26-aa9e988c6cbf,61,,,"[12.3, 28.2]",3857287,1,,,,,0.31903842,,Drop Kick,,,,"[89.8, 53.8]",High Pass,,81.61868,Incomplete,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,,1,From Keeper,Sergio Rochet Álvarez,36710.0,Goalkeeper,7,Uruguay,783,"['5cf0464f-ae56-422b-97cc-4cfcfe3d0428', 'f46dd75a-bcb2-459b-af58-d2096f68d7c7']",50,,,,,,,,,,,,,,,,Uruguay,783,00:01:50.772,Pass,
,,,,,,,,,,,,,,1.049085,,,,,,,,,,,,,08b1ab86-86e7-47ac-8bb5-3588c3d0f42d,69,,,"[13.6, 66.2]",3857287,2,,,,,0.8876049,,Right Foot,,,,"[20.6, 74.8]",Ground Pass,,11.088733,,,Min Jae Kim,43565.0,,,,,Free Kick,1,From Free Kick,Seung-Gyu Kim,37641.0,Goalkeeper,9,South Korea,791,['61c7b416-d656-4964-ad71-eb379cc6d7f3'],25,,,,,,,,,,,,,,,,South Korea,791,00:02:25.599,Pass,
,,,,,,,,,,,,,,1.469262,,,,,,,,,,,,,0891a00a-ef05-4201-9cbb-69b508f97cbf,72,,,"[19.9, 72.7]",3857287,2,,,,,-2.338895,,Right Foot,,,,"[5.7, 58.0]",Ground Pass,,20.438444,,,Seung-Gyu Kim,37641.0,,,,,,1,From Free Kick,Min Jae Kim,43565.0,Right Center Back,9,South Korea,791,['cc3b8256-7af6-4579-9945-a105ccb68d78'],29,,,,,,,,,,,,,,,,South Korea,791,00:02:29.081,Pass,
,,,,,,,,,,,,,,1.250626,,,,,,,,,,,,,3e4f7938-50df-45f3-812f-316aa5fd254d,75,,,"[6.1, 53.5]",3857287,2,,,,,-0.14106855,,Left Foot,,,,"[23.0, 51.1]",Ground Pass,,17.069563,,,Woo-Young Jung,5618.0,,,,,,1,From Free Kick,Seung-Gyu Kim,37641.0,Goalkeeper,9,South Korea,791,['6c790b39-9f64-45ba-bf73-df86ae405958'],31,,,,,,,,,,,,,,,,South Korea,791,00:02:31.508,Pass,
,,,,,,,,,,,,,,1.741114,,,,,,,,,,,,,105f8cb7-5de0-4192-a9e9-7a505c188524,79,,,"[23.0, 49.9]",3857287,2,,,,,-3.0309355,,Right Foot,,,,"[8.6, 48.3]",Ground Pass,,14.488616,,,Seung-Gyu Kim,37641.0,,,,,,1,From Free Kick,Woo-Young Jung,5618.0,Left Defensive Midfield,9,South Korea,791,"['2338a2a7-2065-4527-af97-195c764f7198', '8fb481dc-a0d9-40e4-9dda-5007f11bbe07']",33,,,,,,,,,,,,,,,,South Korea,791,00:02:33.895,Pass,True
,,,,,,,,,,,,,,3.694552,,,,,,,,,,,,,ca3df26a-ef38-45e9-906f-0acddc35d0af,82,,,"[19.7, 49.2]",3857287,2,,,,,-0.51830435,,Right Foot,,,,"[83.7, 12.7]",High Pass,,73.67666,Incomplete,,Jin-Su Kim,40538.0,,,,,,1,From Free Kick,Seung-Gyu Kim,37641.0,Goalkeeper,9,South Korea,791,"['4f9e0a33-414b-44bc-88d8-beb7096da3be', 'af412972-3fbb-42a1-9c45-715d2457157a']",44,,,,,,,,,,,,,,,,South Korea,791,00:02:44.682,Pass,
,,,,,,,,,,,,,,1.729768,,,,,,,,,,,,,4f9e0a33-414b-44bc-88d8-beb7096da3be,84,,,"[36.4, 67.4]",3857287,2,,,,,-0.058186673,,Head,,,,"[46.7, 66.8]",High Pass,,10.317461,Incomplete,,Facundo Pellistri Rebollo,36288.0,,,,,Recovery,1,From Free Kick,José Martín Cáceres Silva,5248.0,Right Back,9,South Korea,791,"['7def0b9b-1dde-4da1-833c-9b6b6ee33d1a', '9a064c00-6143-45bd-874a-97884ddef3bc', 'ca3df26a-ef38-45e9-906f-0acddc35d0af']",48,,,,,,,,,,,,,,,,Uruguay,783,00:02:48.377,Pass,
,,,,,,,,,,,,,,1.439966,,,,,,,,,,,,,9a064c00-6143-45bd-874a-97884ddef3bc,86,,,"[73.4, 13.3]",3857287,2,,,,True,0.1133334,,,,,,"[85.7, 14.7]",High Pass,,12.379418,Incomplete,,,,,,,,Recovery,1,From Free Kick,Jae-Sung Lee,5623.0,Center Attacking Midfield,9,South Korea,791,"['4f9e0a33-414b-44bc-88d8-beb7096da3be', 'ac3274ed-3507-48b2-8df9-27e439aae315', 'f2f5d40c-58a1-42c5-a9a9-f6b0f1754be2']",50,,,,,,,,,,,,,,,,South Korea,791,00:02:50.107,Pass,True
,,,,,,,,,,,,,,1.620457,,,,,,,,,,,,,ac3274ed-3507-48b2-8df9-27e439aae315,88,,,"[34.4, 65.4]",3857287,2,,,,,-0.45561564,,Head,,,,"[44.4, 60.5]",High Pass,,11.135978,Incomplete,,Federico Santiago Valverde Dipetta,6773.0,,,,,Recovery,1,From Free Kick,José Martín Cáceres Silva,5248.0,Right Back,9,South Korea,791,"['14665faa-a6d3-4a76-9dbe-8fe5be2f20a6', '7b669159-acb4-478d-8b21-97ec2c5db838', '9a064c00-6143-45bd-874a-97884ddef3bc']",51,,,,,,,,,,,,,,,,Uruguay,783,00:02:51.547,Pass,
,,,,,,,,,,,,,,1.749899,,,,,,,,,,,,,7b669159-acb4-478d-8b21-97ec2c5db838,90,,,"[75.7, 19.6]",3857287,2,,,,True,0.67328745,,,,,,"[84.1, 26.3]",High Pass,,10.744766,Incomplete,,,,,,,,Recovery,1,From Free Kick,Jin-Su Kim,40538.0,Left Back,9,South Korea,791,"['25525a42-ca34-4acb-aacd-d816e0211325', 'ac3274ed-3507-48b2-8df9-27e439aae315', 'ff0e1395-e6d5-45e5-bb80-b6e48aa70fa3']",53,,,,,,,,,,,,,,,,South Korea,791,00:02:53.167,Pass,True
,,,,,,,,,,,,,,2.444931,,,,,,,,,,,,,25525a42-ca34-4acb-aacd-d816e0211325,93,,,"[36.0, 53.8]",3857287,2,,,,True,-0.49782234,,,,,,"[54.4, 43.8]",High Pass,,20.941824,,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,Recovery,1,From Free Kick,Rodrigo Bentancur Colmán,5260.0,Center Defensive Midfield,9,South Korea,791,"['7b669159-acb4-478d-8b21-97ec2c5db838', 'b9aced78-03b5-4e87-bad8-7f35173e6a8f', 'f9725b49-0c0f-4c20-b71f-d82f96c862be']",54,,,,,,,,,,,,,,,,Uruguay,783,00:02:54.917,Pass,True
,,,,,,,,,,,,,,1.671469,,,,,,,,,,,,,5b86c960-85b3-470c-b687-3d268d953e8f,95,,,"[53.8, 43.2]",3857287,2,,,,,2.9050348,,Right Foot,,,,"[42.6, 45.9]",Ground Pass,,11.520851,Incomplete,,,,,,,,,1,From Free Kick,Darwin Gabriel Núñez Ribeiro,32478.0,Left Wing,9,South Korea,791,['67433a83-bd7c-492d-b470-c38b69228f80'],57,,,,,,,,,,,,,,,,Uruguay,783,00:02:57.362,Pass,
,,,,,,,,,,,,,,0.648501,,,,,,,,,,,,,6352572e-67ee-48e0-8805-ab06bbab2eec,98,,,"[71.5, 36.9]",3857287,3,,,,,-2.4845178,,Left Foot,,,,"[64.5, 31.5]",Ground Pass,,8.840815,,,Jae-Sung Lee,5623.0,,,,,,1,From Free Kick,In-Beom Hwang,23763.0,Right Defensive Midfield,9,South Korea,791,['0b9d2cdc-d1da-42b9-8875-520eee9856fa'],0,,,,,,,,,,,,,,,,South Korea,791,00:03:00.632,Pass,
,,,,,,,,,,,,,,0.896843,,,,,,,,,,,,,d4a5fa62-31d6-4235-94ec-d293a335eece,102,,,"[64.0, 30.0]",3857287,3,,,,,-1.7413098,,Left Foot,,,,"[61.4, 14.9]",Ground Pass,,15.3222065,,,Jin-Su Kim,40538.0,,,,,,1,From Free Kick,Jae-Sung Lee,5623.0,Center Attacking Midfield,9,South Korea,791,"['7253b642-ef0a-4a9a-8ae7-cd87848a1ec3', 'aaba32f8-2ac8-4d81-9cf0-285052c7cdc0']",2,,,,,,,,,,,,,,,,South Korea,791,00:03:02.599,Pass,True
,,,,,,,,,,,,,,1.700606,,,,,,,,,,,,,e7b48723-dfa4-4b39-9f39-2de1b51e02ee,105,,,"[62.0, 10.4]",3857287,3,,,,,0.032246884,,Left Foot,,,,"[93.0, 11.4]",High Pass,,31.016125,Incomplete,,Heung-Min Son,3083.0,,,,,,1,From Free Kick,Jin-Su Kim,40538.0,Left Back,9,South Korea,791,"['b607b614-d0a2-4756-aead-86c81cb670a5', 'd0ea5fbd-1e25-407f-a5d8-9d45bf4b13c7']",5,,,,,,,,,,,,,,,,South Korea,791,00:03:05.027,Pass,
,,,,,,,,,,,,,,0.976013,,,,,,,,,,,,,73a02227-33b4-4936-bd01-40ad826a8828,110,,,"[86.8, 12.9]",3857287,3,,,,,2.1702487,,Right Foot,,,,"[78.6, 24.9]",Low Pass,,14.534098,,,In-Beom Hwang,23763.0,,,,,,1,From Free Kick,Heung-Min Son,3083.0,Left Wing,9,South Korea,791,['3a6d8b66-8508-4a89-a32e-0a74c566ebf1'],9,,,,,,,,,,,,,,,,South Korea,791,00:03:09.101,Pass,
,,,,,,,,,,,,,,1.670308,,,,,,,,,,,,,b87effb7-5742-4fe8-90c4-ce984c93aa3d,113,,,"[77.5, 13.4]",3857287,3,,,,,2.0438902,,Right Foot,,,,"[62.4, 42.9]",Ground Pass,,33.140007,,,Min Jae Kim,43565.0,,,,,,1,From Free Kick,In-Beom Hwang,23763.0,Right Defensive Midfield,9,South Korea,791,['97d6db6c-7514-41f3-a2f5-bce24e5514aa'],13,,,,,,,,,,,,,,,,South Korea,791,00:03:13.033,Pass,
,,,,,,,,,,,,,,0.874235,,,,,,,,,,,,,2c6bbc8b-c33d-481c-a4de-ed00a0aab315,116,,,"[70.2, 47.6]",3857287,3,,,,,-0.8836721,,Right Foot,,,,"[79.8, 35.9]",Ground Pass,,15.1343975,,,In-Beom Hwang,23763.0,,,,,,1,From Free Kick,Min Jae Kim,43565.0,Right Center Back,9,South Korea,791,['159e8da4-b788-41d1-bc77-569caeb43faa'],17,,,,,,,,,,,,,,,,South Korea,791,00:03:17.605,Pass,
,,,,,,,,,,,,,,0.571878,,,,,,,,,,,,,3e4a2c83-0d0a-441f-b72b-144d10d1f118,119,,,"[80.9, 35.3]",3857287,3,,,,,-0.62980336,,Right Foot,,,,"[86.8, 31.0]",Ground Pass,,7.300685,,,Heung-Min Son,3083.0,,,,,,1,From Free Kick,In-Beom Hwang,23763.0,Right Defensive Midfield,9,South Korea,791,['e0e826a9-d57f-4fc2-88a7-d7aa746577a0'],18,,,,,,,,,,,,,,,,South Korea,791,00:03:18.955,Pass,
,,,,,,,,,,,,,,0.579328,,,,,,,,,,,,,b12293c7-b5bf-4b2f-8860-148a7eeead4f,123,,,"[91.3, 25.9]",3857287,3,,,,,-2.861293,,Right Foot,,,,"[84.7, 24.0]",Ground Pass,,6.868042,,,Jae-Sung Lee,5623.0,,,,,,1,From Free Kick,Heung-Min Son,3083.0,Left Wing,9,South Korea,791,"['35976c01-dd7f-4143-a59a-059d98c7b75e', 'a262638a-97f3-4727-9ba4-617233b80e7e']",22,,,,,,,,,,,,,,,,South Korea,791,00:03:22.410,Pass,True
,,,,,,,,,,,,,,1.092933,,,,,,,,,,,,,2cbdf108-fcd2-4cf5-a65c-217b904a4516,126,,,"[87.4, 22.8]",3857287,3,,,,,-1.4464413,,Left Foot,,,,"[89.6, 5.2]",Ground Pass,,17.736967,,,Jin-Su Kim,40538.0,,,,,,1,From Free Kick,Jae-Sung Lee,5623.0,Center Attacking Midfield,9,South Korea,791,['4c983885-e8b7-4060-99a7-ee5cbf7c60fe'],24,,,,,,,,,,,,,,,,South Korea,791,00:03:24.862,Pass,
,,,,,,,,,,,,,,1.133097,,,,,,,,,,,,,89bd46e7-fb95-41e3-b9b3-c2c4ef21ba3e,129,,,"[89.6, 5.6]",3857287,3,,,,,2.2811909,,Right Foot,,,,"[81.6, 14.9]",Ground Pass,,12.267437,,,Jae-Sung Lee,5623.0,,,,,,1,From Free Kick,Jin-Su Kim,40538.0,Left Back,9,South Korea,791,['f2b208d9-ddc4-4060-8043-9865a30d148c'],28,,,,,,,,,,,,,,,,South Korea,791,00:03:28.630,Pass,
,,,,,,,,,,,,,,1.856027,,,,,,,,,,,,,c5d48aca-3162-47c0-8944-54d1d6f9861c,132,,,"[79.8, 21.4]",3857287,3,,,,,2.8001776,,Left Foot,,,,"[60.1, 28.4]",Ground Pass,,20.906698,,,Young-Gwon Kim,5604.0,,,,,,1,From Free Kick,Jae-Sung Lee,5623.0,Center Attacking Midfield,9,South Korea,791,['c475c536-6c39-4866-9917-cca9d65329ed'],30,,,,,,,,,,,,,,,,South Korea,791,00:03:30.021,Pass,
,,,,,,,,,,,,,,1.961575,,,,,,,,,,,,,2d1d62d0-4cf7-4c97-a8b2-327ac0417e81,135,,,"[59.9, 28.4]",3857287,3,,,,,1.4809104,,Left Foot,,,,"[62.0, 51.7]",Ground Pass,,23.394444,,,Min Jae Kim,43565.0,,,,,,1,From Free Kick,Young-Gwon Kim,5604.0,Left Center Back,9,South Korea,791,['e5b18676-3c67-4c6c-b569-9b1c9047f4d7'],32,,,,,,,,,,,,,,,,South Korea,791,00:03:32.878,Pass,
,,,,,,,,,,,,,,1.022215,,,,,,,,,,,,,5498844d-cbdf-4f0e-b9c0-b32831f29fb5,138,,,"[68.2, 62.4]",3857287,3,,,,,-1.7883505,,Left Foot,,,,"[66.1, 52.9]",Ground Pass,,9.729337,,,In-Beom Hwang,23763.0,,,,,,1,From Free Kick,Min Jae Kim,43565.0,Right Center Back,9,South Korea,791,['cfe5afaa-62ed-4bf5-95f2-f240a4a1f2d6'],37,,,,,,,,,,,,,,,,South Korea,791,00:03:37.974,Pass,
,,,,,,,,,,,,,,1.323516,,,,,,,,,,,,,8d7c3649-31ed-44a0-872e-55b6cc31ea63,144,,,"[75.8, 54.5]",3857287,3,,True,,,-3.0539796,,Right Foot,,,,"[61.0, 53.2]",Ground Pass,,14.856985,,,Min Jae Kim,43565.0,,,,,Free Kick,1,From Free Kick,In-Beom Hwang,23763.0,Right Defensive Midfield,10,South Korea,791,['61ba0fb5-b18e-444d-a811-2b129776de39'],54,,,,,,,,,,,,,,,,South Korea,791,00:03:54.722,Pass,
,,,,,,,,,,,,,,1.184985,,,,,,,,,,,,,52d2b7d5-6438-43cc-adc6-0779eb6128c6,146,,,"[61.0, 53.2]",3857287,3,,,,,-1.6543999,,Right Foot,,,,"[59.5, 35.3]",Ground Pass,,17.96274,,,Young-Gwon Kim,5604.0,,,,,,1,From Free Kick,Min Jae Kim,43565.0,Right Center Back,10,South Korea,791,['4db4f761-9e69-4f70-a602-95a937d9848a'],56,,,,,,,,,,,,,,,,South Korea,791,00:03:56.508,Pass,
