player_id,player_name,player_nickname,jersey_number,country,cards,positions
3193,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,10,Portugal,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '80:39', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
4272,João Mário Naval da Costa Eduardo,João Mário,17,Portugal,[],[]
5204,Bruno Miguel Borges Fernandes,Bruno Fernandes,8,Portugal,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '86:40', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5205,Rui Pedro dos Santos Patrício,Rui Patrício,1,Portugal,[],[]
5206,Rúben Santos Gato Alves Dias,Rúben Dias,4,Portugal,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5207,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,7,Portugal,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '72:49', 'to': '74:11', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '74:11', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5209,Raphaël Adelino José Guerreiro,Raphaël Guerreiro,5,Portugal,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5214,William Silva de Carvalho,William Carvalho,14,Portugal,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '83:07', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '83:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5218,André Miguel Valente Silva,André Silva,9,Portugal,[],[]
7005,João Pedro Cavaco Cancelo,João Cancelo,20,Portugal,[],[]
9927,Rúben Diogo Da Silva Neves,Rúben Neves,18,Portugal,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '80:39', 'to': '83:07', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '83:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
10868,Ricardo Jorge Luz Horta,Ricardo Horta,21,Portugal,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '72:35', 'to': '74:11', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '74:11', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
11184,Otávio Edmilson da Silva Monteiro,Otavinho,25,Portugal,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '73:04', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12041,João Félix Sequeira,João Félix,11,Portugal,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '72:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12169,João Maria Lobo Alves Palhinha Gonçalves,João Palhinha,6,Portugal,[],[]
16028,José Diogo Dalot Teixeira,Diogo Dalot,2,Portugal,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
18360,Rafael Alexandre Conceição Leão,Rafael Leão,15,Portugal,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '86:40', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
18866,José Pedro Malheiro de Sá,José Sá,12,Portugal,[],[]
20016,Kléper Laveran Lima Ferreira,Pepe,3,Portugal,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
32975,Diogo Meireles Costa,Diogo Costa,22,Portugal,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
34639,Vitor Machado Ferreira,Vitinha,16,Portugal,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '73:04', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
38803,Gonçalo Matias Ramos,Gonçalo Ramos,26,Portugal,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '72:35', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
40874,Matheus Luiz Nunes,Matheus Nunes,23,Portugal,[],[]
143854,António João Pereira Albuquerque Tavares Silva,António Silva,24,Portugal,[],[]
