player_id,player_name,player_nickname,jersey_number,country,cards,positions
40784,Akram Hassan Afif,Akram Afif,11,Qatar,"[{'time': '76:55', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124488,Hassan Khalid Al Heidos,Hassan Al Heidos,10,Qatar,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '71:01', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
124490,Ahmed Alaa Eldin Abdelmotaal,Ahmed Alaa Eldin,7,Qatar,[],[]
124492,Karim Boudiaf,,12,Qatar,"[{'time': '35:47', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124493,Boualem Khoukhi,,16,Qatar,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124494,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan,3,Qatar,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124495,Almoez Ali Zainalabiddin Abdulla,Almoez Ali,19,Qatar,"[{'time': '21:06', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '71:10', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
124496,Saad Abdullah Al Sheeb,Saad Al Sheeb,1,Qatar,"[{'time': '14:17', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124500,Assim Omer Al Haj Madibo,Assim Madibo,23,Qatar,[],[]
124503,Bassam Hisham Al Rawi,Bassam Hisham,15,Qatar,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124504,Tarek Salman Salman,Tarek Salman,5,Qatar,[],[]
124506,Pedro Miguel Correia,,2,Qatar,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124510,Meshaal Aissa Barsham,Meshaal Barsham,22,Qatar,[],[]
124512,Mosaab Khoder Jibril,Mosaab Khoder,13,Qatar,[],[]
124514,Abdulaziz Hatem Mohammed Abdullah,Abdulaziz Hatem,6,Qatar,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '71:35', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '71:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
124526,Salem Ali Al Hajri,Salem Al Hajri,20,Qatar,[],[]
124899,Ismaeel Mohammad Mohammad,Ismaeel Mohammad,17,Qatar,[],[]
124900,Homam Alamin Ahmed,Homam Ahmed,14,Qatar,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124901,Mohammed Muntari,,9,Qatar,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '71:10', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
124909,Mohammed Waed Abdulwahhab Al Bayati,Mohammed Al Bayati,4,Qatar,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '71:01', 'to': '71:35', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '71:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
126962,Jassem Gaber Abdulsallam,Jassem Abdulsallam,25,Qatar,[],[]
130272,Yousef Hassan Mohamed Ali,Yousef Hassan,21,Qatar,[],[]
146267,Khalid Muneer Mazeed,,18,Qatar,[],[]
149463,Ali Assadalla Thaimn Qambar,Ali Assadalla,8,Qatar,[],[]
150429,Mostafa Taerk Mashaal,Mostafa Mashaal,26,Qatar,[],[]
157455,Naif Abdulraheem Al Hadhrami,Naif Al Hadhrami,24,Qatar,[],[]
