player_id,player_name,player_nickname,jersey_number,country,cards,positions
3042,Mikel Merino Zazón,Mikel Merino,6,Spain,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '88:40', 'to': '89:54', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '89:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3265,José Luis Sanmartín Mato,Joselu,9,Spain,[],[]
3477,Álvaro Borja Morata Martín,Álvaro Morata,7,Spain,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '67:19', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
4127,David Raya Martin,David Raya,1,Spain,[],[]
4353,Aymeric Laporte,,14,Spain,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5202,José Ignacio Fernández Iglesias,Nacho,4,Spain,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '82:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
5721,Daniel Carvajal Ramos,Daniel Carvajal,2,Spain,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6655,Fabián Ruiz Peña,Fabián Ruiz,8,Spain,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6685,Mikel Oyarzabal Ugarte,Mikel Oyarzabal,21,Spain,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '67:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
6748,Ferrán Torres García,Ferrán Torres,11,Spain,[],[]
6765,Rodrigo Hernández Cascante,Rodri,16,Spain,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Injury)'}]"
6821,Jesús Navas González,Jesús Navas,22,Spain,[],[]
10336,Alejandro Grimaldo García,Álex Grimaldo,12,Spain,[],[]
11748,Unai Simón Mendibil,Unai Simón,23,Spain,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
16532,Daniel Olmo Carvajal,Daniel Olmo,10,Spain,"[{'time': '29:57', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '89:54', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '89:54', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
17620,Marc Cucurella Saseta,Marc Cucurella,24,Spain,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
22128,Robin Aime Robert Le Normand,Robin Le Normand,3,Spain,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '82:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
24921,Martín Zubimendi Ibáñez,Martín Zubimendi,18,Spain,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
32185,Alejandro Remiro Gargallo,Álex Remiro,13,Spain,[],[]
41115,Alejandro Baena Rodríguez,Álex Baena,15,Spain,[],[]
41542,Daniel Vivian Moreno,Dani Vivian,5,Spain,[],[]
68574,Nicholas Williams Arthuer,Nico Williams,17,Spain,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
143864,Fermin Lopez Marin,Fermín López,25,Spain,[],[]
316046,Lamine Yamal Nasraoui Ebana,Lamine Yamal,19,Spain,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '88:40', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
