player_id,player_name,player_nickname,jersey_number,country,cards,positions
2988,Memphis Depay,,10,Netherlands,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '72:01', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '72:01', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3306,Nathan Aké,,5,Netherlands,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '64:59', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
3311,Daley Blind,,17,Netherlands,[],[]
3567,Georginio Wijnaldum,,8,Netherlands,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '64:46', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
3669,Virgil van Dijk,,4,Netherlands,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7787,Stefan de Vrij,,6,Netherlands,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7829,Wout Weghorst,,9,Netherlands,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '71:05', 'to': '72:01', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '72:01', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8069,Matthijs de Ligt,,3,Netherlands,[],[]
8125,Denzel Dumfries,,22,Netherlands,[],[]
8259,Steven Bergwijn,,25,Netherlands,[],[]
15503,Jerdy Schouten,,24,Netherlands,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '36:21', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '36:21', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
15582,Donyell Malen,,18,Netherlands,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '70:09', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 17, 'position': 'Right Wing', 'from': '70:37', 'to': '71:05', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
16185,Justin Bijlow,,13,Netherlands,[],[]
20750,Cody Mathès Gakpo,Cody Gakpo,11,Netherlands,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
21582,Tijjani Reijnders,,14,Netherlands,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '36:21', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '36:21', 'to': '64:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
21633,Joey Veerman,,16,Netherlands,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '34:11', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
21880,Brian Brobbey,,19,Netherlands,[],[]
22352,Lutsharel Geertruida,,2,Netherlands,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
23230,Ryan Gravenberch,,26,Netherlands,[],[]
25000,Mark Flekken,,23,Netherlands,[],[]
32547,Micky van de Ven,Micky van de Ven,15,Netherlands,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '64:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
32712,Jeremie Frimpong,,12,Netherlands,[],[]
33281,Joshua Zirkzee,,21,Netherlands,[],[]
37274,Bart Verbruggen,,1,Netherlands,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
39092,Ian Maatsen,,20,Netherlands,[],[]
39167,Xavi Simons,,7,Netherlands,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '34:11', 'to': '36:21', 'from_period': 1, 'to_period': 1, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '36:21', 'to': '72:01', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '72:01', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
