player_id,player_name,player_nickname,jersey_number,country,cards,positions
3153,Ádám Lang,,2,Hungary,[],[]
4286,Callum Styles,,17,Hungary,"[{'time': '17:24', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '60:33', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
7162,Ádám Nagy,,8,Hungary,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '60:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8509,Willi Orban,,6,Hungary,"[{'time': '25:37', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8524,Péter Gulácsi,,1,Hungary,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11268,Attila Fiola,,5,Hungary,[],[]
12921,Barnabás Varga,,19,Hungary,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '73:48', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Injury)'}]"
16502,László Kleinheisler,,15,Hungary,"[{'time': '74:09', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]",[]
16741,Loïc Négo,,7,Hungary,[],[]
19316,Roland Sallai,,20,Hungary,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
21209,Dominik Szoboszlai,,10,Hungary,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
31887,Endre Botka,,21,Hungary,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
31889,Dénes Dibusz,,12,Hungary,[],[]
39683,Botond Balogh,,3,Hungary,[],[]
40039,Krisztofer Horváth,,25,Hungary,[],[]
40500,Mihály Kata,,26,Hungary,[],[]
40920,Márton Dárdai,,24,Hungary,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '73:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
42822,András Schäfer,,13,Hungary,"[{'time': '43:07', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
46376,Attila Szalai,,4,Hungary,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '73:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
46789,Bendegúz Bolla,,14,Hungary,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '85:39', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
50329,Dániel Gazdag,,16,Hungary,[],[]
73886,Zsolt Nagy,,18,Hungary,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '85:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
89635,Milos Kerkez,,11,Hungary,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '85:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
158733,Péter Szappanos,,22,Hungary,[],[]
264277,Martin Ádám,,9,Hungary,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '73:48', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
389882,Kevin Csoboth,,23,Hungary,"[{'time': '10:00', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 7, 'position': 'Right Wing Back', 'from': '85:39', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
