player_id,player_name,player_nickname,jersey_number,country,cards,positions
7087,Saba Lobzhanidze,Saba Lobjanidze,23,Georgia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '80:41', 'to': '82:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '82:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7655,Lasha Dvali,,3,Georgia,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7839,Guram Kashia,,4,Georgia,"[{'time': '35:48', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11335,Otar Kiteishvili,,17,Georgia,[],[]
16005,Solomon Kverkvelia,Saba Kverkvelia,5,Georgia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '80:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
22242,Heorhii Tsitaishvili,Georgiy Tsitaishvili,21,Georgia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '61:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
23272,Giorgi Loria,,1,Georgia,[],[]
23646,Giorgi Chakvetadze,,10,Georgia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '61:38', 'to': '82:13', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '82:13', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
24284,Giorgi Kvilitaia,,11,Georgia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '87:29', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
25036,Otar Kakabadze,,2,Georgia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
31707,Levan Shengelia,,19,Georgia,[],[]
33234,Georges Mikautadze,,22,Georgia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '87:29', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
38225,Jemal Tabidze,Jimmy Tabidze,24,Georgia,[],[]
38229,Khvicha Kvaratskhelia,Kvara,7,Georgia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '80:41', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
41202,Giorgi Kochorashvili,,6,Georgia,"[{'time': '94:07', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
44183,Zuriko Davitashvili,Zurab Davitashvili,9,Georgia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '61:38', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
46802,Nika Kvekveskiri,,16,Georgia,[],[]
48178,Luka Lochoshvili,,14,Georgia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '61:38', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
102371,Giorgi Mamardashvili,,25,Georgia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
102372,Budu Zivzivadze,,8,Georgia,[],[]
135844,Sandro Altunashvili,,18,Georgia,[],[]
158014,Luka Gugeshashvili,,12,Georgia,[],[]
264017,Anzor Mekvabishvili,,20,Georgia,"[{'time': '82:31', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
348086,Giorgi Gocholeishvili,,13,Georgia,[],[]
390000,Gabriel Sigua,,26,Georgia,[],[]
398886,Giorgi Gvelesiani,,15,Georgia,"[{'time': '81:10', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '80:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
